"Table 303.70. Total undergraduate fall enrollment in degree-granting postsecondary institutions, by attendance status, sex of student, and control
              and level of institution: Selected years, 1970 through 2029",,,,,,,,,,,,,
Level and year,Total,Full-time,Part- time,Males,Females,Males,,Females,,Public,Private,,
,,,,,,Full-time,Part-time,Full-time,Part-time,,Total,Nonprofit,For-profit
1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Total, all 
   levels",,,,,,,,,,,,,
1970,"7,368,644","5,280,064","2,088,580","4,249,702","3,118,942","3,096,371","1,153,331","2,183,693","935,249","5,620,255","1,748,389","1,730,133","18,256"
1975,"9,679,455","6,168,396","3,511,059","5,257,005","4,422,450","3,459,328","1,797,677","2,709,068","1,713,382","7,826,032","1,853,423","1,814,844","38,579"
1980,"10,475,055","6,361,744","4,113,311","5,000,177","5,474,878","3,226,857","1,773,320","3,134,887","2,339,991","8,441,955","2,033,100","1,926,703","106,397"
1985,"10,596,674","6,319,592","4,277,082","4,962,080","5,634,594","3,156,446","1,805,634","3,163,146","2,471,448","8,477,125","2,119,549","1,928,996","190,553"
1986,"10,797,975","6,352,073","4,445,902","5,017,505","5,780,470","3,146,330","1,871,175","3,205,743","2,574,727","8,660,716","2,137,259","1,928,294","208,965"
1987,"11,046,235","6,462,549","4,583,686","5,068,457","5,977,778","3,163,676","1,904,781","3,298,873","2,678,905","8,918,589","2,127,646","1,939,942","187,704"
1988,"11,316,548","6,642,428","4,674,120","5,137,644","6,178,904","3,206,442","1,931,202","3,435,986","2,742,918","9,103,146","2,213,402",---,---
1989,"11,742,531","6,840,696","4,901,835","5,310,990","6,431,541","3,278,647","2,032,343","3,562,049","2,869,492","9,487,742","2,254,789",---,---
1990,"11,959,106","6,976,030","4,983,076","5,379,759","6,579,347","3,336,535","2,043,224","3,639,495","2,939,852","9,709,596","2,249,510","2,043,407","206,103"
1991,"12,439,287","7,221,412","5,217,875","5,571,003","6,868,284","3,435,526","2,135,477","3,785,886","3,082,398","10,147,957","2,291,330","2,072,354","218,976"
1992,"12,537,700","7,244,442","5,293,258","5,582,936","6,954,764","3,424,739","2,158,197","3,819,703","3,135,061","10,216,297","2,321,403","2,101,721","219,682"
1993,"12,323,959","7,179,482","5,144,477","5,483,682","6,840,277","3,381,997","2,101,685","3,797,485","3,042,792","10,011,787","2,312,172","2,099,197","212,975"
1994,"12,262,608","7,168,706","5,093,902","5,422,113","6,840,495","3,341,591","2,080,522","3,827,115","3,013,380","9,945,128","2,317,480","2,100,465","217,015"
1995,"12,231,719","7,145,268","5,086,451","5,401,130","6,830,589","3,296,610","2,104,520","3,848,658","2,981,931","9,903,626","2,328,093","2,104,693","223,400"
1996,"12,326,948","7,298,839","5,028,109","5,420,672","6,906,276","3,339,108","2,081,564","3,959,731","2,946,545","9,935,283","2,391,665","2,112,318","279,347"
1997,"12,450,587","7,418,598","5,031,989","5,468,532","6,982,055","3,379,597","2,088,935","4,039,001","2,943,054","10,007,479","2,443,108","2,139,824","303,284"
1998,"12,436,937","7,538,711","4,898,226","5,446,133","6,990,804","3,428,161","2,017,972","4,110,550","2,880,254","9,950,212","2,486,725","2,152,655","334,070"
1999,"12,739,445","7,753,548","4,985,897","5,584,234","7,155,211","3,524,586","2,059,648","4,228,962","2,926,249","10,174,228","2,565,217","2,185,290","379,927"
2000,"13,155,393","7,922,926","5,232,467","5,778,268","7,377,125","3,588,246","2,190,022","4,334,680","3,042,445","10,539,322","2,616,071","2,213,180","402,891"
2001,"13,715,610","8,327,640","5,387,970","6,004,431","7,711,179","3,768,630","2,235,801","4,559,010","3,152,169","10,985,871","2,729,739","2,257,718","472,021"
2002,"14,257,077","8,734,252","5,522,825","6,192,390","8,064,687","3,934,168","2,258,222","4,800,084","3,264,603","11,432,855","2,824,222","2,306,091","518,131"
2003,"14,480,364","9,045,253","5,435,111","6,227,372","8,252,992","4,048,682","2,178,690","4,996,571","3,256,421","11,523,103","2,957,261","2,346,673","610,588"
2004,"14,780,630","9,284,336","5,496,294","6,340,048","8,440,582","4,140,628","2,199,420","5,143,708","3,296,874","11,650,580","3,130,050","2,389,366","740,684"
2005,"14,963,964","9,446,430","5,517,534","6,408,871","8,555,093","4,200,863","2,208,008","5,245,567","3,309,526","11,697,730","3,266,234","2,418,368","847,866"
2006,"15,179,591","9,571,349","5,608,242","6,511,198","8,668,393","4,264,722","2,246,476","5,306,627","3,361,766","11,842,625","3,336,966","2,448,250","888,716"
2007,"15,613,540","9,841,973","5,771,567","6,731,561","8,881,979","4,397,402","2,334,159","5,444,571","3,437,408","12,147,744","3,465,796","2,470,463","995,333"
2008,"16,344,592","10,244,174","6,100,418","7,055,640","9,288,952","4,570,913","2,484,727","5,673,261","3,615,691","12,589,947","3,754,645","2,535,789","1,218,856"
2009,"17,464,179","11,038,275","6,425,904","7,563,176","9,901,003","4,942,120","2,621,056","6,096,155","3,804,848","13,386,375","4,077,804","2,595,171","1,482,633"
2010,"18,082,427","11,457,040","6,625,387","7,836,282","10,246,145","5,118,975","2,717,307","6,338,065","3,908,080","13,703,000","4,379,427","2,652,993","1,726,434"
2011,"18,077,303","11,365,175","6,712,128","7,822,992","10,254,311","5,070,553","2,752,439","6,294,622","3,959,689","13,694,899","4,382,404","2,718,923","1,663,481"
2012,"17,735,638","11,097,092","6,638,546","7,714,938","10,020,700","4,984,389","2,730,549","6,112,703","3,907,997","13,478,100","4,257,538","2,744,400","1,513,138"
2013,"17,476,304","10,939,276","6,537,028","7,660,140","9,816,164","4,950,210","2,709,930","5,989,066","3,827,098","13,348,292","4,128,012","2,755,463","1,372,549"
2014,"17,294,136","10,784,392","6,509,744","7,586,299","9,707,837","4,877,531","2,708,768","5,906,861","3,800,976","13,244,533","4,049,603","2,772,065","1,277,538"
2015,"17,046,673","10,603,030","6,443,643","7,502,254","9,544,419","4,809,098","2,693,156","5,793,932","3,750,487","13,150,823","3,895,850","2,822,122","1,073,728"
2016,"16,874,649","10,430,068","6,444,581","7,416,859","9,457,790","4,725,510","2,691,349","5,704,558","3,753,232","13,143,979","3,730,670","2,813,742","916,928"
2017,"16,773,036","10,371,863","6,401,173","7,351,259","9,421,777","4,683,715","2,667,544","5,688,148","3,733,629","13,112,594","3,660,442","2,819,080","841,362"
2018,"16,610,235","10,267,135","6,343,100","7,225,999","9,384,236","4,602,752","2,623,247","5,664,383","3,719,853","13,049,326","3,560,909","2,821,653","739,256"
2019\1\ ,"16,673,000","10,296,000","6,377,000","7,250,000","9,423,000","4,612,000","2,638,000","5,684,000","3,739,000","13,100,000","3,573,000",---,---
2020\1\ ,"16,692,000","10,293,000","6,399,000","7,254,000","9,438,000","4,608,000","2,646,000","5,685,000","3,753,000","13,118,000","3,575,000",---,---
2021\1\ ,"16,721,000","10,292,000","6,428,000","7,263,000","9,457,000","4,606,000","2,657,000","5,686,000","3,771,000","13,142,000","3,578,000",---,---
2022\1\ ,"16,750,000","10,297,000","6,452,000","7,273,000","9,477,000","4,606,000","2,667,000","5,692,000","3,785,000","13,167,000","3,582,000",---,---
2023\1\ ,"16,790,000","10,312,000","6,478,000","7,288,000","9,503,000","4,610,000","2,678,000","5,703,000","3,800,000","13,201,000","3,590,000",---,---
2024\1\ ,"16,845,000","10,341,000","6,504,000","7,312,000","9,533,000","4,622,000","2,690,000","5,718,000","3,814,000","13,244,000","3,600,000",---,---
