year,2_id,public2_enrollment,private2_enrollment,public2_tuition,private2_tuition
1986,1,4413691,265857,2989,6384
1987,2,4541054,235168,3066,7078
1988,3,4615487,259668,3183,7967
1989,4,4883660,267229,3299,8670
1990,5,4996475,243608,3467,9302
1991,6,5404815,247085,3623,9632
1992,7,5484514,237835,3799,9903
1993,8,5337022,228539,3996,10406
1994,9,5308366,221243,4137,11170
1995,10,5277398,214700,4217,11563
1996,11,5314038,248742,4404,11954
1997,12,5360686,244883,4509,12921
1998,13,5245963,243351,4604,13319
1999,14,5397786,255470,4730,14045
2000,15,5697061,251043,4839,14907
2001,16,5996651,253878,5137,15825
2002,17,6270199,258999,5601,17753
2003,18,6208885,284977,6012,19558
2004,19,6243344,302226,6375,20297
2005,20,6184000,303826,6492,21404
2006,21,6219880,293423,6815,20284
2007,22,6335826,293110,6977,21686
2008,23,6639928,331019,7549,22723
2009,24,7101569,421012,7708,24463
2010,25,7218063,465534,8079,23101
2011,26,7068158,442992,8617,23605
2012,27,6792065,375775,8927,23355
2013,28,6626411,344233,9283,23870
2014,29,6397552,317126,9585,24327
2015,30,6224304,275157,9914,24375
2016,31,5842909,249509,10090,24888
2017,32,5717460,235311,10280,25596
2018,33,5546704,198504,10950,28627
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
